hops,simple_graph_upper_bound,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,min_80_simple
2,5.311390606643596,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.785918237188545
3,5.156449130181776,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.134762459978834
4,5.067182446202438,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.7906095047839565
5,5.009740728410474,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.4989545391817582
6,4.969231733548239,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.75757871379162,99.74738657403284,99.24419135850994,99.18792693143803,99.18769550800755,98.94799889132942,96.37161360780027,90.01771414033182,89.97811782325871,89.22594281590808,89.1591586331827,88.7722193514143,88.73038053634893,86.46104570657937,86.36337013623482,86.18349835437947,86.16377793717157,86.13689538819742,86.07722959329664,85.6867674575402,84.82821171420481,84.64881528298139,84.10207352797573,84.01164414788684,83.95663023495487,83.16632155139484,83.140144547736,80.72598272081686,80.30391384417658,1.2876197444876076
7,4.934985574432963,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.26175011541775,97.36971583147361,94.10114470383787,93.53052644306628,92.72278402081717,92.65283125235423,92.05495678960104,91.38811349550777,91.33184593596545,90.80233686935507,90.02138810037363,89.23015176599034,89.19802892899618,89.07307177558226,88.09376628971046,87.94974282334165,85.73627633004908,82.59807042151189,82.53959898751629,82.53775165765938,81.27283488937147,81.2429930989661,81.13006235759478,80.56962142934631,71.6014874297113,71.01377217349587,67.73164060179596,67.47729995880223,67.45629615371425,57.439015737633774,56.98466873247514,56.81569975695943,52.995190283632915,51.87935339561574,51.811325358850915,51.72045264646067,51.35470594798116,51.33526452944629,51.32282463522017,51.09742388952206,50.72060437403627,50.569031666080924,48.2875285774382,48.14979683756236,47.20024569279101,47.16224423456205,47.02409042996291,46.78154208649525,46.77212325583736,46.56712365955965,46.43527291526221,46.43510642263185,46.23195038008193,43.15486196700873,43.09687965152114,42.981624302757176,42.80704826023165,42.79205021144413,42.78765425076073,42.68647691310321,41.82312311706297,41.701001398931176,41.52189336023113,41.49045414326141,41.48611823832745,41.43228083105104,41.35757919010819,40.86197996145738,40.70261070045482,40.34980873765826,39.83038298390335,39.790071316921775,30.842071910142256,30.804222161776714,30.161209640945003,29.88704788286399,1.0959156491413347
8,4.875718423073765,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.11538402451797,97.29930444853828,95.94297594622715,88.13408802871253,86.68739419749808,86.54754718475905,84.72695534528872,81.65533477436183,80.4567526397929,78.60483771696565,78.22916149724506,77.33455506906955,77.25753307225828,76.73419018429331,76.29903149497235,76.23471199347887,75.63275953004963,75.10742677422529,74.48294304680057,74.45501745222477,73.91958373628368,73.11389308868993,72.22532531393144,71.86286747297774,71.13486109552359,71.07918362312905,71.07760027972517,69.73191137094312,69.69834228799823,69.61255972170477,69.23439199082992,67.31273619171333,66.8867151575133,64.97753457916816,64.89997298322785,64.88506913905178,57.780749240130426,56.915463921165596,56.782298077310706,55.57725425131342,53.91836893355175,53.67355758684463,53.58132793549624,53.33940125929442,53.314836889129374,53.30044234827517,53.24259682041694,52.914033353023996,52.874630795081195,52.682063553439946,52.542467379422504,52.47643556604851,52.386180654507,52.19695179688418,52.06239243073776,52.0547291314948,51.7637423954663,51.725069815740426,51.72496747090062,51.6133958471543,48.95135657574354,47.732358732726055,47.72358894252436,47.42695117840722,47.388647008217006,47.38631637045023,47.37496289207399,46.59831816659538,46.51603715751454,46.36061477545319,46.34728179173275,46.34119043575319,46.26905853937438,46.12470061826205,45.91863236960665,45.803829809941824,45.48567613862696,45.44199938209242,45.39686652375744,44.67370219314385,44.66388167370109,43.163797131890334,43.11919017889725,0.8930571212325042
9,4.845613678284402,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.17170142220463,87.89123042607208,83.25063339219494,66.21355859675067,57.46587545005375,57.24015243464585,55.898559004816214,55.0651111754983,51.96322157418128,46.09352242599375,45.39871139210424,45.2814892325422,43.88528617535119,41.300145718819266,40.27843837056,37.61697278938944,37.27342694103286,36.45847689002735,36.4006819964719,35.961877099827724,35.529760512744744,35.48173813322667,35.036502239831464,34.715743574830995,34.260976138334684,34.242397327711586,34.14741181097262,33.42118962320832,33.36379909595523,32.63429589258566,31.908421465082686,31.867813339048034,31.865240761468932,30.936866415749183,30.910884102635574,30.80932806673488,30.40212785687363,28.971935390689612,28.773625833994625,26.364791149203107,26.31024325320426,26.300419201042416,22.68442053999839,22.456762069331358,22.300083604005597,22.154084923321296,21.550236636280356,21.395320338624455,21.33704902125761,21.19742780959962,21.179439576882125,21.166554532955832,21.119866728004578,20.928057709251775,20.799210674363366,20.17851281275714,20.092675782673755,20.006909061470964,19.973456376279024,19.697758190243285,19.630293051689527,19.625174345342582,19.093650647050076,19.048078532136326,19.04793152323012,18.892307689344367,17.941522447842488,17.846358684411342,17.842811575159942,17.736864237459333,17.710894563341146,17.708055662655074,17.67168638534102,17.148469680220625,17.07710421201039,17.017767107775033,17.006041350010424,17.001886798199468,16.964046614704042,16.92900829228927,16.533891653746977,16.42278063399929,16.306290627691407,16.27223975185405,16.23983710174173,15.866284145882345,15.857846146027825,14.934706145227054,14.887223758476434,0.7639939691094344
10,4.811332646583164,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.26878804170377,84.8212277040338,79.79256174218219,64.33078855617678,54.85709503509735,54.61220175877452,51.52298210937096,50.859123571744476,50.318087475902466,44.72872776941096,43.36726466867914,43.26510338670104,41.66873460391575,37.18544770044793,36.32106169496788,35.48114659542438,35.1284046894211,34.12653212082151,34.07241952520779,33.369518026999444,32.72623771094885,32.68199215533095,31.968810803172182,31.6650115646379,31.144013053985983,31.114940904028845,31.033373786404088,30.09690412921216,30.016048575249734,29.767425971522187,29.014147535018733,28.978963104407985,28.977989292275954,28.335216925275915,28.31588456625865,28.246620367363874,27.929788741762255,25.45409095371035,24.165430699992225,22.956664173103174,22.894869172364317,22.88411372435427,18.24722218439529,17.944704140089787,17.817436260694162,17.422357126017047,16.13590145097382,15.940867086264626,15.881919293456368,15.643549856946903,15.632221100893455,15.625204880176712,15.589776225565027,15.412115327087857,15.356849661111932,15.197585307513615,14.989354301981756,14.899362107769841,14.87558515232859,14.715637296475144,14.637029888732927,14.632966583152118,14.526753920783232,14.497357806639803,14.497275734262518,14.378988780005646,13.640129172868258,13.590694830589868,13.58999600719087,13.475036190099567,13.456127991769167,13.451613321033559,13.441260276002907,12.907894800860763,12.861572785547441,12.78602100773797,12.77393479585658,12.772607980217149,12.738580571661988,12.685557218152741,12.581933831565454,11.921521154514949,11.737979803426132,11.683837012925041,11.673097977603653,11.408078148743835,11.403980157420005,11.142899958437424,11.107357064068195,0.6232677377187583
11,4.775078269984661,100.0,100.0,100.0,100.0,100.0,100.0,98.56226958283881,95.38529298972098,94.51087952087428,91.42848158592301,91.28208783050728,68.39188357808428,58.797812242471444,55.25992056365673,45.63011075816458,39.465894823729116,39.24887365022298,38.62640179309052,38.068441786101495,37.59205459514501,33.89753884655839,33.320747431011014,33.22652962060224,32.18460428598473,30.390299125285136,29.908190086647576,29.240476623119207,28.987323228379232,28.379948288743368,28.335494168475243,27.99182245821381,27.64209221809775,27.603405822924543,27.263442962446906,27.02222091980487,26.58743720560276,26.56026196995584,26.48661235471995,25.749167954590796,25.702993639682283,25.22300461084427,24.62973846109681,24.60405013512967,24.603366270394943,24.33289066608212,24.317318706053015,24.247423172444382,23.990727491319582,19.728975573937678,19.65804731066257,18.66676522447708,18.63441598715634,18.623917627520356,16.388270879552472,16.099470722017784,15.999534554214993,15.894515042890335,15.434778350536646,15.405989824519134,15.34077459794393,15.183097482745154,15.173777371108967,15.168209567965999,15.119689771400449,14.969139936315525,14.937692687077279,14.527962362679066,14.425750041277961,14.37153348225535,14.35123412009826,14.23573219518984,14.171206095132344,14.169287415142083,14.062488947581018,14.04734162675991,14.047237281619589,13.969383819702614,13.019238408365299,12.98659509414012,12.986435661839272,12.664132087603164,12.636799593759887,12.633315310024862,12.619697924624132,12.176410256206708,12.118741017677662,12.053843490401487,12.045596101508972,12.042092637346824,11.98987951247182,11.910401604465594,11.798181722774578,11.737616682752266,11.623391033524156,11.606622572859072,11.579098626554869,11.151921435804693,11.149541893990882,10.934122544100168,10.906514522231324,0.5181935366403235
12,4.748840097253383,100.0,100.0,100.0,100.0,100.0,100.0,71.61126866188378,71.3366283816877,70.82865133117153,68.98504522213479,68.83639936655948,48.28570013619364,44.021532361157924,40.81133097172945,31.35386633163538,25.866347874285697,25.63501074324506,25.006202216178266,24.43864203829195,24.066738424539214,21.06694972444189,20.203976131567124,20.117288672439354,19.208615188030908,17.3844391669686,17.047440650076137,16.43655818384356,16.17217490072485,15.610092390467429,15.570977904900817,15.325479675051914,14.797501765837607,14.768922462239393,14.451610857497302,14.172562425432755,13.769596933778514,13.755300098860499,13.696246777414753,13.254203712075782,13.199248732663571,13.00583501182995,12.510582567103386,12.491127310311246,12.49034438894494,12.09854864569804,12.081442301529686,12.030489490331387,11.685892739730239,10.970982125405177,10.862577752063922,9.937019683979376,9.915689525318328,9.906496104733753,8.128414038206799,7.849381620496961,7.762116986634974,7.5370162671237235,7.187514562561534,7.143158455133436,7.077752592627969,6.961797114137943,6.954682680051219,6.946952106832862,6.92087006371177,6.838674003298644,6.809554339791904,6.6766153339143335,6.620124647419998,6.585343464567631,6.556486273852434,6.437973096199561,6.407223214944299,6.405595392696902,6.29586568660708,6.273796118570838,6.273730151330278,6.212917704134,5.71917711351023,5.643379204510699,5.642644227983241,5.604504787730083,5.596827865204153,5.594675339187018,5.5648217290491715,5.298182975965766,5.260614515729689,5.185197827241323,5.181296702505808,5.177332757931087,5.157870344687097,5.140760077721108,5.04406186156084,5.000942989096189,4.935459676031775,4.915216246603532,4.895437577530158,4.664587682003011,4.662165877507722,4.510061027083359,4.482969116343955,0.42745696955359
13,4.71633276272144,100.0,100.0,100.0,100.0,100.0,100.0,71.044841191616,70.80116273289826,69.8414663134596,68.18604462968172,68.03682068827564,49.276165003184445,45.45140304439045,42.12303027982589,31.72069501141569,26.68112522942736,26.449846485877842,25.886420152115928,25.42903143939136,25.046389933900773,22.104290416219097,21.73615017722503,21.669957184822504,20.7496317132781,17.661484161109552,17.17846849461937,16.725793657693522,16.541309082457598,16.162259491435094,16.131969874918124,15.702207279744812,15.199712811342014,15.158601556129135,14.747050074155982,14.561842141675237,14.211681404928754,14.19813577780424,14.149204897755991,13.873478599798416,13.662910292225892,13.520692103238895,13.112565421341703,13.089768852216205,13.089260604833989,12.38709604809198,12.378140219676542,12.333236766502564,12.117038485177096,11.416154043551805,11.317301641628593,10.725036918618795,10.705057502753764,10.698096888072088,9.09762185911458,8.913004378297455,8.833680156502124,8.691847130073828,8.435426405533146,8.398241935503918,8.328009209869213,8.243921961036758,8.238069820831138,8.233294213067891,8.18571462321937,8.131636525699975,8.120164119462594,8.037714475556005,7.989213291231167,7.967926163364944,7.95351289553841,7.777716206296231,7.741530473506467,7.738232659306845,7.424426464203914,7.403207243325237,7.403166426062453,7.339790883435443,6.8977257922802035,6.871703720837285,6.871524285923112,6.832566279402912,6.821270347380358,6.820154562172171,6.764149261882939,6.416285505047846,6.363281715379903,6.320655218369957,6.292846525821055,6.2920847903287,6.274088990175739,6.2525736261454234,6.192477914413687,5.738813857896516,5.683381971164461,5.661803304224909,5.641605450110814,5.472628781532415,5.471097427362932,5.359597026521919,5.344168824116855,0.3422558117320625
