hops,simple_graph_upper_bound,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,min_80_simple
2,5.424138862242319,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.2092405349343687
3,5.187540710457283,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.721994677861259
4,5.1252446517540005,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.4804844294411863
5,5.041098416993581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.23277583101425
6,5.005134076403979,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0314266075821577
7,4.974687589357212,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.46624730226732,97.93727930664716,97.8682934899956,94.50745639532443,94.06510255885036,92.18484365960322,91.8857183954962,84.42582395377507,82.299884839448,81.93269118154524,81.88414136169723,81.6284541286608,79.36836397457186,77.86978649403805,76.96450292351555,76.39737483448579,75.25652432694731,72.58219953897958,71.43806924909855,70.8134895562915,70.79461263900495,70.79425731056088,70.44125972575503,70.440374722163,70.05965881739476,70.04100889254634,69.97079388345207,67.99793275101163,65.12531307181588,64.79708617036012,64.63691621898535,64.28568571015785,63.3798301170718,63.260578425687335,63.193985355883406,62.4781101994024,62.41763180636724,62.41355913059483,62.316436076964,62.297286857646036,62.280548702038374,62.09897676816533,61.845025440710224,61.83249357789749,61.46724056311011,61.340422563494585,61.248661540599336,60.5962924219745,59.446664520378704,59.119358878192806,59.082379352652815,58.29360454963306,58.29216964088087,57.86328940066352,57.71023453093352,57.68930836357379,56.7645966633898,55.867842032220835,55.7299498818644,55.68474475736347,55.68421523547537,55.018120813844156,54.75866029110504,53.53775049433318,53.53745907989123,53.43000412033153,53.27371655130871,52.92914632963353,52.79573479170545,1.8690428425716614
8,4.93870014637071,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.06346864214319,75.6917184416442,75.6669882462093,75.66677941780185,75.24322198074309,75.24270215901026,75.17754306571877,75.16273428732083,75.03607147939695,73.22555218823517,72.12021496696187,71.87354550751625,71.80628249409794,68.70830391402635,68.06674769849707,67.97301163475771,67.9717472043518,67.14475271234194,67.08617224560936,67.08028671574279,67.0365490107845,67.02369436770472,67.01200272331384,66.71229283012649,66.25517684270031,66.25397985815756,66.22496213013055,66.11763659514229,66.06564009713978,65.35004692037937,63.00394531947561,62.583358889201826,62.5524984540932,62.36453288032999,62.363865024663774,56.07221132274047,55.90959116896807,55.90123054412301,55.71065625154089,55.39642540792635,55.33775649705339,55.2841812699513,55.283662785388685,55.04875565822261,54.681009555478255,51.89620682921306,51.895985084722376,51.804295326310466,51.73081700374576,51.63056857160302,49.95144485382154,1.7199596735569591
9,4.924446916617928,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.96934102846201,76.49032753206971,61.11563304323636,60.805045408896575,60.012343006525626,59.84343409648922,59.441009294736396,56.45264184744597,56.1563034504236,55.20603078906467,53.291328124071505,53.05385388214343,51.095951287829074,49.006446181021786,48.545913861570924,48.50085498135722,48.402214791674034,47.95354664719234,47.52382872194609,47.24694104787161,46.529650438215945,46.01619293491698,45.029574632861056,44.98241491414176,44.88426097877968,44.16179291971034,43.16935966398293,42.60424085434792,42.15743790841382,41.607340217938386,39.99833856503769,38.859884885625995,38.54242934801866,38.523232576098565,38.522791958087204,38.21790782384314,38.21668826586668,38.09547946659213,38.08329772480684,37.95121495825893,37.07627813671228,30.080587936254766,29.88898284019877,29.77486809473391,29.29213683975773,28.9748618829094,28.943696467073725,28.941836547344753,28.3374658930026,28.329744210388125,28.32489065005404,28.25981202910343,28.249366510777314,28.226804927639055,27.992571771660508,27.795306569777697,27.794046165723866,27.709797607491375,27.675436086234516,27.60997652095404,27.21084268922946,26.39601487048278,25.699696658928346,25.678846285119025,24.269180526234823,24.26873841302971,24.048492076336355,23.94652250304055,23.940587895080117,23.39802499302683,22.434183385493526,22.41084406321918,22.379381365221413,22.379153964349904,22.20294620689754,21.728004549113876,20.83661046236,20.83654468217916,20.76678836835527,20.620521381720916,20.56033555307178,20.49523882133954,1.6121395791757347
10,4.89830260299435,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.64572174989019,84.96909351569462,66.21334068246013,65.81860878608234,65.39917080290478,65.20442779300679,65.05984406963363,62.503557679716344,62.32367226848644,61.0084154129452,58.73182356956534,58.54247864094293,57.346170759314596,56.14905937204057,55.97247997638711,55.92039733650062,55.78726948816159,46.769355824107095,46.254672665375246,46.117473583428314,45.16814163076389,44.846195621278596,44.64042011682531,44.62611382727648,44.54255710307172,43.85897210434069,42.87269901768939,42.44803725887206,42.127112406177886,41.95049087098539,40.773925698759065,39.93115896569172,38.61703943903374,38.59258642220786,38.592400631666735,38.42548324719848,38.42514995254841,38.217319020990004,38.20991423657727,38.111743517419534,37.17452790995219,34.27764367281512,34.10365183038831,33.99647124040468,33.74397618243596,33.3363424295446,33.28712388089458,33.28263122556077,32.976740610665146,32.96777849061001,32.956036141583056,32.83817395402577,32.81583864834945,32.796240017453655,32.62586164198982,32.387038652485096,32.386716712053484,32.33538203923872,32.27502028233075,32.22532834903924,31.797725717089023,31.107586911078617,30.959684482476536,30.907608259263107,30.779566562141692,30.779308179416418,30.57632363496643,30.385347542565448,30.37848455224732,29.95908495965897,29.745225187474944,29.740852052870444,29.549954195860085,29.54971217671167,29.444282115714277,29.23817318748561,28.591848630804517,28.59172314483024,28.447932611347415,28.388298267789445,25.209404239823655,25.15413188854214,1.479021151734999
11,4.874027320371857,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9135127835918,96.35077249377291,78.21892310417105,74.32471444268528,66.14538194172493,65.67286959095306,64.77691582484886,62.87211727797302,61.39079566176126,59.034506484520065,58.74900808555952,49.609997509052015,49.285239948130595,39.09371761187312,38.78351717863637,38.49605498942383,38.29014162672046,38.12913419611655,34.634526373194845,34.585346361057674,33.764544579124006,32.435570958524764,32.26527957935953,31.086021045711277,29.95048823124652,29.719999113011077,29.688101611352042,29.62654020500038,29.345027639698454,28.77734845077519,28.590635512650607,27.83142999197734,26.475926770956164,26.311419933305835,26.2936039557043,26.210220612498983,25.543642487690523,24.581809704063495,24.110085784015492,23.88149784147934,23.75451353766539,22.49417213244734,21.24568460339488,20.908827455225357,20.899042364115054,20.89868924288229,20.779199793561208,20.77904555471522,20.627536699063683,20.616934802596344,20.340404440220038,19.38415051363421,18.72883974038181,18.590180280643214,18.50970039810566,18.320562789242125,18.067224450465844,18.015473494624327,18.01136368757781,17.729994023832283,17.696004649352204,17.685958332834964,17.60261914580143,17.59226346033939,17.564351733643587,17.36361861377559,17.167223488510725,17.166325954740365,16.88388179493922,16.813563204377918,16.760214804076615,16.44266222433082,15.875691010870213,15.581328787467342,15.53573567837938,15.450902715422405,15.45072045113139,15.224213700358218,15.154053906350107,15.152851729380327,14.766814908378423,14.52500906801646,14.521470786882956,14.490783626753926,14.490602679855487,14.306633562854755,14.1077823570114,13.69075855903868,13.690736543971157,13.630576596643108,13.547371397345305,13.370159512925348,13.325269373583504,1.4039533649899372
